61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,-5,A,America/Toronto
62,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,-5,A,America/Toronto
63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,-5,A,America/Toronto
64,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,-5,A,America/Toronto
65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,-5,A,America/Toronto
66,Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,-6,N,America/Regina
67,Dryden Regional Airport,Dryden,Canada,YHD,CYHD,-6,A,America/Winnipeg
68,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,-7,A,America/Edmonton
69,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,-7,A,America/Edmonton
70,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,-5,A,America/Toronto
71,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,-5,A,America/Toronto
72,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,-7,A,America/Edmonton
73,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,-4,A,America/Halifax
74,Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,-5,A,America/Coral_Harbour
75,Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,-5,A,America/Toronto
76,St Jean Airport,St. Jean,Canada,YJN,CYJN,-5,A,America/Toronto
77,Stephenville Airport,Stephenville,Canada,YJT,CYJT,-3.5,A,America/St_Johns
78,Kamloops Airport,Kamloops,Canada,YKA,CYKA,-8,A,America/Vancouver
79,Waterloo Airport,Waterloo,Canada,YKF,CYKF,-5,A,America/Toronto
80,Schefferville Airport,Schefferville,Canada,YKL,CYKL,-5,A,America/Toronto
81,Kindersley Airport,Kindersley,Canada,YKY,CYKY,-6,N,America/Regina
82,Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,-5,A,America/Toronto
83,Chapleau Airport,Chapleau,Canada,YLD,CYLD,-5,A,America/Toronto
84,Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,-6,N,America/Regina
85,Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,-7,A,America/Edmonton
86,Alert Airport,Alert,Canada,YLT,CYLT,-5,A,America/Toronto
87,Kelowna International Airport,Kelowna,Canada,YLW,CYLW,-8,A,America/Vancouver
88,Mayo Airport,Mayo,Canada,YMA,CYMA,-8,A,America/Vancouver
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,-6,N,America/Regina
90,Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,-7,A,America/Edmonton
91,Moosonee Airport,Moosonee,Canada,YMO,CYMO,-5,A,America/Toronto
92,Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,-5,A,America/Toronto
93,Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,-5,A,America/Toronto
94,Natashquan Airport,Natashquan,Canada,YNA,CYNA,-5,A,America/Toronto
95,Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,-5,A,America/Toronto
96,Matagami Airport,Matagami,Canada,YNM,CYNM,-5,A,America/Toronto
97,Old Crow Airport,Old Crow,Canada,YOC,CYOC,-8,A,America/Vancouver
98,CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,-7,A,America/Edmonton
99,High Level Airport,High Level,Canada,YOJ,CYOJ,-7,A,America/Edmonton
100,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,-5,A,America/Toronto
101,Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,-6,N,America/Regina
102,Peace River Airport,Peace River,Canada,YPE,CYPE,-7,A,America/Edmonton
103,Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,-6,A,America/Winnipeg
104,Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,-8,A,America/Vancouver
105,Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,-5,A,America/Coral_Harbour
106,Port Menier Airport,Port Menier,Canada,YPN,CYPN,-5,A,America/Toronto
107,Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,-5,A,America/Toronto
108,Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,-8,A,America/Vancouver
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,-7,A,America/Edmonton
110,Muskoka Airport,Muskoka,Canada,YQA,CYQA,-5,A,America/Toronto
111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,-5,A,America/Toronto
112,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,-7,A,America/Edmonton
113,Windsor Airport,Windsor,Canada,YQG,CYQG,-5,A,America/Toronto
114,Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,-8,A,America/Vancouver
115,Kenora Airport,Kenora,Canada,YQK,CYQK,-6,A,America/Winnipeg
116,Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,-7,A,America/Edmonton
117,Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,-4,A,America/Halifax
119,Comox Airport,Comox,Canada,YQQ,CYQQ,-8,A,America/Vancouver
120,Regina International Airport,Regina,Canada,YQR,CYQR,-6,N,America/Regina
121,Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,-5,A,America/Toronto
122,Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,-7,A,America/Edmonton
123,Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,-6,N,America/Regina
124,North Battleford Airport,North Battleford,Canada,YQW,CYQW,-6,N,America/Regina
125,Gander International Airport,Gander,Canada,YQX,CYQX,-3.5,A,America/St_Johns
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,-4,A,America/Halifax
127,Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,-8,A,America/Vancouver
128,Resolute Bay Airport,Resolute,Canada,YRB,CYRB,-6,A,America/Winnipeg
129,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,-5,A,America/Toronto
130,Roberval Airport,Roberval,Canada,YRJ,CYRJ,-5,A,America/Toronto
131,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,-7,A,America/Edmonton
132,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,-6,A,America/Winnipeg
133,Sudbury Airport,Sudbury,Canada,YSB,CYSB,-5,A,America/Toronto
134,Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,-5,A,America/Toronto
135,Saint John Airport,St. John,Canada,YSJ,CYSJ,-4,A,America/Halifax
136,Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,-7,A,America/Edmonton
137,Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,-5,A,America/Toronto
138,Summerside Airport,Summerside,Canada,YSU,CYSU,-4,A,America/Halifax
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,-7,A,America/Edmonton
140,Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,-5,A,America/Toronto
141,Thompson Airport,Thompson,Canada,YTH,CYTH,-6,A,America/Winnipeg
142,CFB Trenton,Trenton,Canada,YTR,CYTR,-5,A,America/Toronto
143,Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,-5,A,America/Toronto
144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,-5,A,America/Toronto
145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,-7,A,America/Edmonton
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,-5,A,America/Toronto
147,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,-6,A,America/Winnipeg
148,Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,-5,A,America/Toronto
149,Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,-5,A,America/Toronto
150,La Ronge Airport,La Ronge,Canada,YVC,CYVC,-6,N,America/Regina
151,Vermilion Airport,Vermillion,Canada,YVG,CYVG,-7,A,America/Edmonton
